type,year,citation
journal,2026,"Gokce, A., Cukurova, M., & Esmeli, R. (2026). A personalized federated deep learning framework predicts student performance in large-scale examinations across heterogeneous regional distributions. <em>Scientific Reports</em>. <a href=""https://doi.org/10.1038/s41598-026-70854-2"" target=""_blank"" rel=""noopener"">doi:10.1038/s41598-026-70854-2</a>"
journal,2026,"Hao, X., & Cukurova, M. (2026). Enhancing Peer Exposure and Creating Opportunities for Bridging Social Capital Through an AI-Generated Summary-Driven Learning Design in Online Discussion Forums. <em>Journal of Computer Assisted Learning, 42</em>(5). <a href=""https://doi.org/10.1002/jcal.70317"" target=""_blank"" rel=""noopener"">doi:10.1002/jcal.70317</a>"
conference,2026,"Cukurova, M., Suraworachet, W., Zhou, Q., Uzun, Y., Pishtari, G., Bulathwela, S., Topali, P., & Ley, T. (2026). Teacher-Facing AI in Education: A Systematic Review of Impact and A Taxonomy of Teacher-AI Teaming. <em>Zenodo</em>. <a href=""https://doi.org/10.5281/zenodo.22199908"" target=""_blank"" rel=""noopener"">doi:10.5281/zenodo.22199908</a>"
journal,2026,"Chen, Y., Ma, Q., Jong, M. S., Yang, Y., Cukurova, M., & Li, M. (2026). Engagement Dynamics in AI-Mediated Informal Digital Learning of English: Effects on L2 Speaking Performance, Anxiety, and Sequential Behaviour Patterns. <em>Journal of Computer Assisted Learning, 42</em>(4). <a href=""https://doi.org/10.1002/jcal.70278"" target=""_blank"" rel=""noopener"">doi:10.1002/jcal.70278</a>"
journal,2026,"Hwang, G., Kukulska-Hulme, A., & Cukurova, M. (2026). Challenges, opportunities and a conceptual framework for language education in the AI era: Research directions and research design strategies. <em>Artificial Intelligence in Language Education, 2</em>, 104622–104622. <a href=""https://doi.org/10.29140/aile.2026.104622"" target=""_blank"" rel=""noopener"">doi:10.29140/aile.2026.104622</a>"
journal,2026,"Wong, K., Bulathwela, S., & Cukurova, M. (2026). Towards an adaptive AI scaffold for developing student collaborative problem solving. <em>Learning and Instruction, 105</em>, 102418–102418. <a href=""https://doi.org/10.1016/j.learninstruc.2026.102418"" target=""_blank"" rel=""noopener"">doi:10.1016/j.learninstruc.2026.102418</a>"
conference,2026,"Cukurova, M. (2026). What do you mean by human-AI collaboration: Prerequisite functions and the affordances needed to achieve it. <em>arXiv</em>. <a href=""https://doi.org/10.48550/arxiv.2606.15509"" target=""_blank"" rel=""noopener"">doi:10.48550/arxiv.2606.15509</a>"
conference,2026,"Qin, F., Liu, X., Zhang, Y., Li, X., Wang, F., Cukurova, M., (293564), J. C., & Zhang, Y. (2026). Large-scale semantic mapping of learner agency and autonomy reveals what measurement and generative AI research overlook. <em>arXiv</em>. <a href=""https://doi.org/10.48550/arxiv.2606.10881"" target=""_blank"" rel=""noopener"">doi:10.48550/arxiv.2606.10881</a>"
journal,2026,"Yilmaz, M., Temur, H. B., Emmungil, L., Çelik, E., Gauthier, A., & Cukurova, M. (2026). Supporting self-regulated learning through generative AI feedback in online higher education: the importance of student perceptions of the source of feedback. <em>International Journal of Educational Technology in Higher Education, 23</em>(1). <a href=""https://doi.org/10.1186/s41239-026-00592-y"" target=""_blank"" rel=""noopener"">doi:10.1186/s41239-026-00592-y</a>"
journal,2026,"Zamecnik, A., Febriantoro, W., Cukurova, M., Joksimovíc, S., Grossmann, G., & Siemens, G. (2026). Linking AI agent architectures to trust antecedents in human-autonomous teams: a scoping review. <em>Artificial Intelligence Review, 59</em>(8). <a href=""https://doi.org/10.1007/s10462-026-11572-z"" target=""_blank"" rel=""noopener"">doi:10.1007/s10462-026-11572-z</a>"
conference,2026,"Hooshyar, D., Šír, G., Yang, Y., Kärkkäinen, T., Hämäläinen, R., Krivich, E., Cukurova, M., Gašević, D., & Azevedo, R. (2026). Neural-Symbolic Knowledge Tracing: Injecting Educational Knowledge into Deep Learning for Responsible Learner Modelling. <em>arXiv</em>. <a href=""https://doi.org/10.48550/arxiv.2604.08263"" target=""_blank"" rel=""noopener"">doi:10.48550/arxiv.2604.08263</a>"
conference,2026,"He, L., Shijun, Chen, Cukurova, M., & Mavrikis, M. (2026). Dialogue Act Patterns in GenAI-Mediated L2 Oral Practice: A Sequential Analysis of Learner-Chatbot Interactions. <em>arXiv</em>. <a href=""https://doi.org/10.48550/arxiv.2604.05702"" target=""_blank"" rel=""noopener"">doi:10.48550/arxiv.2604.05702</a>"
conference,2026,"Liang, J., Zhou, Q., Bulathwela, S., & Cukurova, M. (2026). Gaze to Insight: A Scalable AI Approach for Detecting Gaze Behaviours in Face-to-Face Collaborative Learning. <em>arXiv</em>. <a href=""https://doi.org/10.48550/arxiv.2604.03317"" target=""_blank"" rel=""noopener"">doi:10.48550/arxiv.2604.03317</a>"
conference,2026,"Meyer, J., Köller, O., Jansen, T., Fleckenstein, J., Asher, M. W., Bichler, S., Brandl, L., Breitwieser, J., Cortina, K. S., Cukurova, M., et al. (2026). The Future of Feedback: How Can AI Help Transform Feedback to Be More Engaging, Effective, and Scalable?. <em>arXiv</em>. <a href=""https://doi.org/10.48550/arxiv.2603.12463"" target=""_blank"" rel=""noopener"">doi:10.48550/arxiv.2603.12463</a>"
