group,name,url,role,tag,image,Location
Director,Mutlu Cukurova,https://iris.ucl.ac.uk/iris/browse/profile?upi=MCUKU85,Professor of Learning & Artificial Intelligence,"Director, UCLAIT Lab",Mutlu_Cukurova_Profile_Photo.jpg,"London, UK"
Affiliated Faculty Members,Sahan Bulathwela,https://profiles.ucl.ac.uk/66114-sahan-bulathwela,Assistant Professor in Artificial Intelligence,Affiliated Faculty Member,sahan.jpeg,
Affiliated Faculty Members,Andrea Gauthier,https://profiles.ucl.ac.uk/72607-andrea-gauthier,Assistant Professor in Education & Technology,Affiliated Faculty Member,andrea.jpeg,
Affiliated Faculty Members,Daniel Tozadore,https://profiles.ucl.ac.uk/103215-daniel-tozadore,Assistant Professor in Robotics & Artificial Intelligence,Affiliated Faculty Member,daniel.jpeg,
Affiliated Faculty Members,Vivek Ramachandran,https://profiles.ucl.ac.uk/97297-vivek-ramachandran,Assistant Professor in Integrated Engineering Programme,Affiliated Faculty Member,prof-photo.jpg,
Affiliated Faculty Members,Maria Perez Ortiz,https://profiles.ucl.ac.uk/70291-maria-perez-ortiz,Associate Professor of Computer Science,Affiliated Faculty Member,maria.jpeg,
Affiliated Faculty Members,Anna Cox,https://profiles.ucl.ac.uk/4715-anna-cox,Professor of Human-Computer Interaction,Affiliated Faculty Member,anna_cox.jpeg,
Affiliated Faculty Members,Barry Caswell,https://profiles.ucl.ac.uk/6169-caswell-barry,Professor of Neuroscience and AI,Affiliated Faculty Member,barry.jpeg,
Postdoctoral Researchers,Qi Zhou,https://scholar.google.com/citations?user=ex9EydcAAAAJ&hl=en,Postdoctoral Researcher,Video Analytics of Collaborative Learning,a2aabb_11e358d3bb4b423281629af337257593~mv2.avif,"Shenzhen, China"
Postdoctoral Researchers,Wannapon Suraworachet,https://scholar.google.com/citations?user=Mtdc2IwAAAAJ&hl=en,Postdoctoral Researcher,Analytics of Social Regulation of Learning,a2aabb_fb4b975abde240dba0ce5b004bb3bc52~mv2.avif,"Bangkok, Thailand"
PhD Researchers,Xinyuan Hao,,PhD Researcher,AI-generated Content & Student Learning,a2aabb_84476ab7fdc247b895adcaf0bb868fff~mv2.avif,"Beijing, China"
PhD Researchers,Wicaksono Febriantoro,https://scholar.google.com/citations?user=yA8CIW4AAAAJ&hl=en&oi=ao,PhD Researcher,AI Supported Writing Analytics and Cognitive Offloading,a2aabb_596fdea6488f4e71b6a3a12e5ea28509~mv2.avif,Indonesia
PhD Researchers,Yildiz Uzun,https://scholar.google.com/citations?user=9CEennIAAAAJ&hl=tr,PhD Researcher,Regulation of Learning with Analytics Visualisations,a2aabb_0511f9c45039483c9e31f270d0b8808e~mv2.avif,Turkey
PhD Researchers,Mutluhan Yilmaz,https://scholar.google.com/citations?user=iAt_yy8AAAAJ&hl,PhD Researcher,Feedback Mechanisms of Learning Analytics,a2aabb_a9b347cfadda4466aaf531490f54d472~mv2.avif,Turkey
PhD Researchers,Kester Wong,https://scholar.google.com/citations?user=nZm8bgcAAAAJ&hl=en,PhD Researcher,AI-supported Collaborative Problem-solving,a2aabb_dc99b7016556446a8f2340cdcc5ce603~mv2.avif,Singapore
PhD Researchers,Zoe Ruo-Yu Li,https://scholar.google.com/citations?user=EtAXIxUAAAAJ&hl=en,PhD Researcher,Recall and affect in learning with AI-generated synthetic video,a2aabb_5943c70bc7f746808007112e7ea5bd7d~mv2.avif,Taiwan
PhD Researchers,Yishan Du,https://scholar.google.com/citations?view_op=list_works&hl=en&hl=en&user=LnWZbwQAAAAJ,PhD Researcher,Benchmarking Bias in Educational LLMs,Yishan.jpeg,China
PhD Researchers,Junyuan Liang,https://arxiv.org/abs/2604.03317,PhD Researcher,Computer Vision for Collaborative Learning Analytics,junyuan.jpeg,China
PhD Researchers,Yifei Gao,https://scholar.google.com/citations?user=jTV522wAAAAJ&hl=en,PhD Researcher,Trust in AI generated feedback,Yifei.jpeg,China
PhD Researchers,Yunus Emre Ozturk,https://scholar.google.com/citations?user=WfmXVYwAAAAJ&hl,PhD Researcher,GenAI-driven Scaffolding for Self-regulated Learning,yunus.jpeg,Turkey
PhD Researchers,Muneer Hussain,,PhD Researcher,AI Tutoring in Higher Education,muneer.png,
Alumni,Raquel Coelho,https://scholar.google.com/citations?user=SfqU9i8AAAAJ&hl=en,Postdoctoral Alumni,Transparency & Teachers' Trust in AIED,a2aabb_8b038cbadc794e3eb73fae48750ce6e8~mv2.avif,
Alumni,Veronica Cucuiat,https://dblp.org/pid/219/8109.html,PhD Alumni,Analytics Visualisations for Project-based Learning,a2aabb_432327b797c846cc83b888d026158ff1~mv2.avif,"Cambridge, UK"
Alumni,Ali Chaudhry,https://arxiv.org/abs/2206.03220,PhD Alumni,Transparency of AI in Education,a2aabb_deaf181b00434603a468a5ce7c32b992~mv2.avif,"London, UK"
Alumni,Madiha Khan,https://www.researchgate.net/profile/Madiha-Khan-Galaria,PhD Alumni,Tutor Behaviour Analytics for Self-regulated Learning,a2aabb_44a67ea96a1a4fe083252d740be58973~mv2.avif,"London, UK"
Alumni,Haifa Alwahaby,https://scholar.google.com/citations?user=vTKlZYsAAAAJ&hl=en&oi=ao,PhD Alumni,Ethics of Multimodal Learning Analytics,a2aabb_09c8b9ea5efe417e9565c047d410ad85~mv2.avif,Saudi Arabia
Alumni,Daniel Leiker,https://scholar.google.com/citations?user=rKQI4aUAAAAJ&hl=en,PhD Alumni,AI-generated Synthetic Media for Learning,a2aabb_ba524303bf6143abb33266a9cb2cb901~mv2.avif,USA
Alumni,Abajomi Akanji,https://www.researchgate.net/profile/Abayomi-Akanji,Postgraduate Researcher,Visualisations of Collaboration Analytics,a2aabb_c0a3e2ba16054bb59b7129bfd535a50a~mv2.avif,
